,i
1227,74.14384726630374
1228,165.85448384672333
1229,272.6797048434193
1230,488.3226422595877
1231,47.03698397192549
1232,342.8850201836465
1233,133.28817119350376
1234,182.78825482388598
1235,280.4957092413744
1236,634.7515996233935
1237,612.2000416167997
1238,141.75785492400192
1239,492.30204763216045
1240,247.79973853608377
1241,749.2659030212283
1242,995.2136041348464
1243,419.06514279527215
1244,894.9298307086244
1245,135.48343003656407
1246,246.302433465132
1247,271.2664227757246
1248,599.4800052506587
1249,1560.5169019018358
1250,144.9787548607698
1251,161.35706198989078
1252,392.66368246739114
1253,268.7623828896428
1254,2296.628460772688
1255,52.644504340402776
1256,121.47375765551722
1257,489.74703509589557
1258,147.74942556849948
1259,171.51722950867295
1260,108.29688887790542
1261,184.48577026154263
1262,308.1329504107839
1263,130.14281917358923
1264,318.44084031160327
1265,222.42123750006482
1266,82.8851560229597
1267,286.1732742791218
1268,144.32415834223733
1269,303.51376284756753
1270,322.50157768418023
1271,347.5760544167978
1272,634.2611499981381
1273,120.7079527181787
1274,94.57753879202976
1275,120.95163364365254
1276,154.3446971506796
1277,224.45448050349782
1278,178.54817493722436
1279,69.6901795668495
1280,127.02772268440472
1281,76.18726238176188
1282,102.2013249714221
1283,68.31403406191949
1284,14.143622364840283
1285,23.783486872399312
1286,80.58349084999351
1287,152.99357784315853
1288,121.74464659656893
1289,72.6071438641926
1290,90.67034207252264
1291,123.19082178682524
1292,116.88953150227084
1293,73.72018374010561
1294,98.1490342284551
1295,45.82585524345694
1296,137.62874531840677
1297,34.13386519877831
1298,95.42568066053207
1299,123.53301289852432
1300,68.64570284473514
1301,197.14335753890862
1302,53.597079664197956
1303,101.57503976656274
1304,79.59469785443514
1305,91.19638299745058
1306,97.90054487874792
1307,117.231929266461
1308,112.221530032484
1309,90.17473674213532
1310,106.02066321749646
1311,77.69866508955327
1312,66.74743076090587
1313,81.97965738006538
1314,109.94487022708454
1315,42.385841366093516
1316,66.08495267102988
1317,117.70511400932848
1318,47.09370329766753
1319,31.48507629653521
1320,35.86668233622136
1321,97.94836841872505
1322,34.883494006657145
1323,86.0116411209025
1324,56.110078559375914
1325,162.1128334385756
1326,93.14500924290321
1327,131.1556674970849
1328,133.47468634812222
1329,41.25915877149634
1330,102.17583340838755
1331,68.9095820386231
1332,115.04909928638948
1333,124.95366723107537
1334,107.02499413192655
1335,140.82557471166933
1336,69.20571357372653
1337,61.12973113409912
1338,40.81156771658292
1339,72.51370888287994
1340,77.79208433883561
1341,113.4770092370902
1342,114.13897645507734
1343,130.38470155507764
1344,88.81045488858862
1345,138.98278571517605
1346,112.45025184418334
1347,64.21066399621495
1348,116.76597993834775
1349,25.41496176893216
1350,143.9757099755153
1351,118.60449507559487
1352,129.15821163132424
1353,93.95917442614208
1354,73.85849695710095
1355,132.69778118900862
1356,55.591837675949314
1357,86.06544936310884
1358,25.878650992252467
1359,120.14943252121635
1360,97.39809424621201
